System Epoch,Device,Category,E4 Epoch,Value
1669786144212,E4,Gsr,1669786142.965,2.258495
1669786144215,E4,Gsr,1669786143.465,2.259776
1669786144215,E4,Gsr,1669786143.715,2.255933
1669786144215,E4,Gsr,1669786143.965,2.255933
1669786144215,E4,Gsr,1669786144.215,2.25081
1669786144215,E4,Gsr,1669786143.215,2.258495
1669786145696,E4,Gsr,1669786144.465,2.249529
1669786145738,E4,Gsr,1669786144.715,2.253372
1669786145740,E4,Gsr,1669786144.965,2.280268
1669786145740,E4,Gsr,1669786145.215,2.325096
1669786145740,E4,Gsr,1669786145.465,2.389136
1669786145740,E4,Gsr,1669786145.715,2.446771
1669786147179,E4,Gsr,1669786145.965,2.480072
1669786147179,E4,Gsr,1669786146.215,2.486476
1669786147181,E4,Gsr,1669786146.465,2.480072
1669786147181,E4,Gsr,1669786146.715,2.467264
1669786147181,E4,Gsr,1669786146.965,2.450613
1669786147181,E4,Gsr,1669786147.215,2.437806
1669786148687,E4,Gsr,1669786147.465,2.414751
1669786148687,E4,Gsr,1669786147.715,2.400663
1669786148687,E4,Gsr,1669786147.965,2.385293
1669786148687,E4,Gsr,1669786148.215,2.372485
1669786148687,E4,Gsr,1669786148.465,2.38017
1669786148687,E4,Gsr,1669786148.715,2.399382
1669786150194,E4,Gsr,1669786148.965,2.427559
1669786150194,E4,Gsr,1669786149.215,2.454456
1669786150194,E4,Gsr,1669786149.465,2.473668
1669786150194,E4,Gsr,1669786149.715,2.491599
1669786150194,E4,Gsr,1669786149.965,2.535146
1669786150194,E4,Gsr,1669786150.215,2.583816
1669786151679,E4,Gsr,1669786150.715,2.632486
1669786151679,E4,Gsr,1669786150.465,2.62224
1669786151680,E4,Gsr,1669786150.965,2.628644
1669786151680,E4,Gsr,1669786151.215,2.60687
1669786151680,E4,Gsr,1669786151.465,2.581254
1669786151680,E4,Gsr,1669786151.715,2.556919
1669786153187,E4,Gsr,1669786151.965,2.537707
1669786153187,E4,Gsr,1669786152.215,2.519776
1669786153188,E4,Gsr,1669786152.465,2.512091
1669786153188,E4,Gsr,1669786152.715,2.500564
1669786153188,E4,Gsr,1669786152.965,2.49288
1669786153188,E4,Gsr,1669786153.215,2.487756
1669786154694,E4,Gsr,1669786153.465,2.482633
1669786154694,E4,Gsr,1669786153.715,2.476229
1669786154696,E4,Gsr,1669786153.965,2.467264
1669786154696,E4,Gsr,1669786154.215,2.471106
1669786154696,E4,Gsr,1669786154.465,2.471106
1669786154696,E4,Gsr,1669786154.715,2.465983
1669786156179,E4,Gsr,1669786154.965,2.464702
1669786156179,E4,Gsr,1669786155.215,2.472387
1669786156180,E4,Gsr,1669786155.465,2.490318
1669786156180,E4,Gsr,1669786155.715,2.504407
1669786156180,E4,Gsr,1669786155.965,2.518495
1669786156180,E4,Gsr,1669786156.215,2.536427
1669786157687,E4,Gsr,1669786156.465,2.560761
1669786157687,E4,Gsr,1669786156.715,2.600466
1669786157688,E4,Gsr,1669786156.965,2.649136
1669786157688,E4,Gsr,1669786157.215,2.684998
1669786157688,E4,Gsr,1669786157.465,2.697806
1669786157688,E4,Gsr,1669786157.715,2.690121
1669786159194,E4,Gsr,1669786157.965,2.668348
1669786159194,E4,Gsr,1669786158.215,2.644013
1669786159195,E4,Gsr,1669786158.465,2.640171
1669786159195,E4,Gsr,1669786158.715,2.617116
1669786159195,E4,Gsr,1669786158.965,2.596624
