,,Category,Value,,
1664977576375,1664977576.319560,E4_Bvp,56.32381,,
1664977576375,1664977576.335190,E4_Bvp,70.73132,,
1664977576376,1664977576.350810,E4_Bvp,78.07299,,
1664977576376,1664977576.366440,E4_Bvp,63.29248,,
1664977576376,1664977576.382060,E4_Bvp,84.9818,,
1664977576376,1664977576.397690,E4_Bvp,151.9801,,
166E4_Bvp,-185.706400,E4_Bvp,165.1357,,
1664977577232,E4_Bvp,E4_Bvp,177.6,-153.8195,
1664977576537,1664977576.444570,E4_Bvp,189.4447,,
1664977576537,1664977576.460190,E4_Bvp,201.3316,,
1664977576538,1664977576.475820,E4_Bvp,214.6331,,
1664977576538,1664977576.491440,E4_Bvp,228.089,,
1664977576538,1664977576.507070,E4_Bvp,243.9893,,
1664977576538,1664977576.522700,E4_Bvp,262.9391,,
1664977576538,1664977576.538320,E4_Bvp,285.0336,,
1664977576539,1664977576.553950,E4_Bvp,309.0791,,
1664977576539,1664977576.569570,E4_Bvp,332.1857,,
1664977576539,1664977576.585200,E4_Bvp,350.0586,,
1664977576712,1664977576.600820,E4_Bvp,358.0856,,
1664977576712,1664977576.616450,E4_Bvp,352.9352,,
1664977576712,1664977576.632080,E4_Bvp,333.7646,,
1664977576712,1664977576.647700,E4_Bvp,302.986,,
1664977576713,1664977576.663330,E4_Bvp,264.4389,,
1664977576713,1664977576.678950,E4_Bvp,222.4264,,
1664977576713,1664977576.694580,E4_Bvp,180.1733,,
1664977576713,1664977576.710200,E4_Bvp,139.2336,,
1664977576713,1664977576.725830,E4_Bvp,99.88205,,
1664977576713,1664977576.741460,E4_Bvp,61.97339,,
1664977576714,1664977576.757080,E4_Bvp,25.73755,,
1664977576892,1664977576.772710,E4_Bvp,-8.106262,,
1664977576892,1664977576.788330,E4_Bvp,-38.33093,,
1664977576892,1664977576.803960,E4_Bvp,-64.40424,,
1664977576892,1664977576.819580,E4_Bvp,-86.47034,,
1664977576892,1664977576.835210,E4_Bvp,-105.0812,,
1664977576892,1664977576.850840,E4_Bvp,-120.7658,,
1664977576892,1664977576.866460,E4_Bvp,-133.6967,,
1664977576892,1664977576.882090,E4_Bvp,-143.7281,,
1664977576892,1664977576.897710,E4_Bvp,-150.4838,,
1664977576892,1664977576.913340,E4_Bvp,-151.3318,,
1664977576893,1664977576.928960,E4_Bvp,-147.4705,,
1664977577050,1664977576.944590,E4_Bvp,-143.3615,,
1664977577050,1664977576.960220,E4_Bvp,-139.8643,,
1664977577050,1664977576.975840,E4_Bvp,-137.0499,,
1664977577051,1664977576.991470,E4_Bvp,-134.6503,,
1664977577051,1664977577.007090,E4_Bvp,-132.1809,,
1664977577051,1664977577.022720,E4_Bvp,-129.2245,,
1664977577051,1664977577.038340,E4_Bvp,-125.5023,,
1664977577051,1664977577.053970,E4_Bvp,-121.166,,
1664977577052,1664977577.069600,E4_Bvp,-116.5659,,
1664977577052,1664977577.085220,E4_Bvp,-112.1031,,
1664977577052,1664977577.100850,E4_Bvp,-108.084,,
1664977577232,1664977577.116470,E4_Bvp,-104.6312,,
1664977577232,1664977577.132100,E4_Bvp,-101.7542,,
1664977577232,1664977577.147720,E4_Bvp,-99.38672,,
1664977577232,1664977577.163350,E4_Bvp,-97.46045,,
1664977577232,1664977577.194600,E4_Bvp,-95.89343,,
1664977577232,1664977577.210230,E4_Bvp,-94.65808,,
1664977577233,1664977577.225850,E4_Bvp,-93.67529,,
1664977577233,1664977577.257100,E4_Bvp,-92.8208,,
1664977577233,1664977577.241480,E4_Bvp,-91.96838,,
1664977577233,1664977577.272730,E4_Bvp,-91.10535,,
1664977577409,1664977577.288360,E4_Bvp,-90.39941,,
1664977577410,1664977577.303980,E4_Bvp,-90.1355,,
1664977577410,1664977577.319610,E4_Bvp,-90.60803,,
1664977577410,1664977577.335230,E4_Bvp,-91.90625,,
1664977577410,1664977577.350860,E4_Bvp,-93.82471,,
1664977577410,1664977577.366480,E4_Bvp,-95.87146,,
1664977577410,1664977577.382110,E4_Bvp,-97.49585,,
1664977577411,1664977577.397740,E4_Bvp,-98.38403,,
1664977577411,1664977577.413360,E4_Bvp,-98.69006,,
1664977577411,1664977577.428990,E4_Bvp,-99.08459,,
1664977577411,1664977576.220000,E4_Bvp,-100.4714,,
1664977577477,1664977576.470000,E4_Bvp,-103.5443,,
1664977577477,1664977576.720000,E4_Bvp,-108.3654,,
1664977577478,1664977576.970000,E4_Bvp,-114.2631,,
1664977577478,1664977577.220000,E4_Bvp,-120.1069,,
1664977577478,1664977577.470000,E4_Bvp,-124.8572,,
1664977577478,1664977577.444610,E4_Bvp,-128.11,,
1664977577567,1664977577.460240,E4_Bvp,-130.5757,,
1664977577567,1664977577.475860,E4_Bvp,-133.639,,
1664977577567,1664977577.491490,E4_Bvp,-138.7228,,
1664977577567,1664977577.507120,E4_Bvp,-146.4829,,
1664977577567,1664977577.522740,E4_Bvp,-156.2958,,
1664977577567,1664977577.538370,E4_Bvp,-166.7286,,
1664977577568,1664977577.553990,E4_Bvp,-176.5057,,
1664977577568,1664977577.569620,E4_Bvp,-195.7177,,
1664977577568,1664977577.585240,E4_Bvp,-208.1044,,
1664977577568,1664977577.600870,E4_Bvp,-222.8995,,
1664977577568,1664977577.616500,E4_Bvp,-247.7507,,
1664977577747,1664977577.632120,E4_Bvp,-237.5524,,
1664977577747,1664977577.647750,E4_Bvp,-249.752,,
1664977577747,1664977577.663370,E4_Bvp,-242.9846,,
1664977577747,1664977577.679000,E4_Bvp,-230.5869,,
1664977577747,1664977577.694620,E4_Bvp,-217.4558,,
1664977577747,1664977577.710250,E4_Bvp,-206.7599,,
1664977577748,1664977577.725880,E4_Bvp,-197.5007,,
1664977577748,1664977577.741500,E4_Bvp,-185.1782,,
1664977577748,1664977577.757130,E4_Bvp,-165.2267,,
1664977577748,1664977577.772750,E4_Bvp,-137.1924,,
1664977577748,1664977577.788380,E4_Bvp,-106.2856,,
1664977577904,1664977577.804000,E4_Bvp,-80.87622,,
1664977577904,1664977577.819630,E4_Bvp,-67.29834,,
1664977577905,1664977577.835260,E4_Bvp,-65.5155,,
1664977577905,1664977577.850880,E4_Bvp,-68.82776,,
1664977577905,1664977577.866510,E4_Bvp,-67.81616,,
1664977577905,1664977577.882130,E4_Bvp,-56.25452,,
1664977577905,1664977577.897760,E4_Bvp,-35.00439,,
1664977577905,1664977577.913380,E4_Bvp,-11.24438,,
1664977577905,1664977577.929010,E4_Bvp,6.130981,,
1664977577906,1664977577.944640,E4_Bvp,11.89221,,
1664977577906,1664977577.960260,E4_Bvp,7.536865,,
1664977578084,1664977577.975890,E4_Bvp,-0.0267334,,
1664977578084,1664977577.991510,E4_Bvp,-2.874146,,
1664977578084,1664977578.007140,E4_Bvp,3.166016,,
1664977578084,1664977578.022760,E4_Bvp,16.30933,,
1664977578084,1664977578.038390,E4_Bvp,30.03833,,
1664977578084,1664977578.054020,E4_Bvp,37.19482,,
1664977578084,1664977578.069640,E4_Bvp,34.40051,,
1664977578084,1664977578.085270,E4_Bvp,24.18286,,
1664977578085,1664977578.100890,E4_Bvp,13.58081,,
1664977578085,1664977578.116520,E4_Bvp,10.1427,,
1664977578085,1664977578.132140,E4_Bvp,17.54004,,
1664977578264,1664977578.147770,E4_Bvp,33.13013,,
1664977578264,1664977578.163400,E4_Bvp,49.22791,,
1664977578264,1664977578.179020,E4_Bvp,57.11279,,
1664977578265,1664977578.194650,E4_Bvp,52.13403,,
1664977578265,1664977578.210270,E4_Bvp,36.50854,,
1664977578265,1664977578.225900,E4_Bvp,18.26428,,
1664977578265,1664977578.241520,E4_Bvp,6.756714,,
1664977578265,1664977578.257150,E4_Bvp,7.287964,,
1664977578265,1664977578.272780,E4_Bvp,18.04248,,
1664977578266,1664977578.288400,E4_Bvp,31.15552,,
1664977578266,1664977578.304030,E4_Bvp,37.5686,,
1664977578421,1664977578.319650,E4_Bvp,32.41528,,
1664977578422,1664977578.335280,E4_Bvp,18.01172,,
1664977578422,1664977578.350900,E4_Bvp,2.239258,,
1664977578422,1664977578.366530,E4_Bvp,-6.205933,,
1664977578422,1664977578.382160,E4_Bvp,-3.094727,,
1664977578423,1664977578.397780,E4_Bvp,8.533691,,
1664977578423,1664977578.413410,E4_Bvp,20.21643,,
1664977578424,1664977578.429030,E4_Bvp,22.91125,,
1664977578424,1664977578.444660,E4_Bvp,12.75525,,
1664977578424,1664977578.460280,E4_Bvp,-6.40271,,
