System Epoch,E4 Epoch,Corrected Epoch,Value,
1668571112272,1668571111648,1668571112258,0.4396,
1668571112272,1668571111898,1668571112508,0.4383,
1668571112277,1668571112148,1668571112758,0.4370,
1668571112277,1668571112398,1668571113008,0.4319,
1668571112277,1668571112648,1668571113258,0.4294,
1668571112277,1668571112898,1668571113508,0.4281,
1668571113758,1668571113148,1668571113758,0.4281,
1668571113758,1668571113398,1668571114008,0.4306,
1668571113758,1668571113648,1668571114258,0.4306,
1668571113758,1668571113898,1668571114508,0.4358,
1668571113758,1668571114148,1668571114758,0.4396,
1668571113758,1668571114398,1668571115008,0.4499,
1668571115266,1668571114648,1668571115258,0.4550,
1668571115266,1668571115148,1668571115758,0.4601,
1668571115266,1668571115398,1668571116008,0.4627,
1668571115266,1668571115648,1668571116258,0.4678,
1668571115266,1668571115898,1668571116508,0.4819,
1668571115266,1668571114898,1668571115508,0.4575,
1668571116771,1668571116148,1668571116758,0.4934,
1668571116771,1668571116398,1668571117008,0.5024,
1668571116772,1668571116648,1668571117258,0.5113,
1668571116772,1668571116898,1668571117508,0.5126,
1668571116772,1668571117148,1668571117758,0.5190,
1668571116772,1668571117398,1668571118008,0.5241,
1668571118256,1668571117648,1668571118258,0.5267,
1668571118256,1668571117898,1668571118508,0.5305,
1668571118257,1668571118148,1668571118758,0.5370,
1668571118257,1668571118398,1668571119008,0.5408,
1668571118257,1668571118648,1668571119258,0.5446,
1668571118257,1668571118898,1668571119508,0.5536,
1668571119765,1668571119148,1668571119758,0.5536,
1668571119765,1668571119398,1668571120008,0.5549,
1668571119766,1668571119648,1668571120258,0.5574,
1668571119766,1668571119898,1668571120508,0.5587,
1668571119766,1668571120148,1668571120758,0.5510,
1668571119766,1668571120398,1668571121008,0.5472,
1668571121271,1668571120648,1668571121258,0.5536,
1668571121271,1668571120898,1668571121508,0.5703,
1668571121272,1668571121148,1668571121758,0.5843,
1668571121272,1668571121398,1668571122008,0.5984,
1668571121272,1668571121648,1668571122258,0.6202,
1668571121272,1668571121898,1668571122508,0.6394,
